route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
11,7,2332,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2333,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2334,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2335,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2336,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2337,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2338,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2339,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2340,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2341,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2342,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2343,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2344,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2345,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2346,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2347,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2348,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2349,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2350,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2351,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2352,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2353,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2354,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2355,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2356,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2357,"NLR GROVE ST VIA PENN",1,"007NK003",1262
11,7,2358,"NLR GROVE ST VIA PENN",1,"007NK004",1262
11,7,2359,"NLR GROVE ST VIA PENN",1,"007NK002",1262
11,7,2360,"NLR GROVE ST VIA PENN",1,"007NK001",1262
11,7,2361,"NLR GROVE ST VIA PENN",1,"007NK003",1262
